POUPANCA;5010001-1;5678-0;180.815.377-40;4416.74;	
POUPANCA;5010002-1;9012-0;204.288.587-83;4586.23;	
POUPANCA;5010003-1;3456-0;385.297.497-66;4755.72;	
POUPANCA;5010004-1;7890-0;462.983.967-48;4925.21;	
POUPANCA;5010005-1;1234-0;453.828.597-87;5094.70;	
POUPANCA;5010006-1;5678-0;187.239.127-31;5264.19;	
POUPANCA;5010007-1;9012-0;570.337.707-23;5433.68;	
POUPANCA;5010008-1;3456-0;362.527.457-40;5603.17;	
POUPANCA;5010009-1;7890-0;414.277.597-90;5772.66;	
POUPANCA;5010010-1;1234-0;627.021.897-76;5942.15;	
POUPANCA;5010011-1;5678-0;728.822.807-00;6111.64;	
POUPANCA;5010012-1;9012-0;437.742.747-46;6281.13;	
POUPANCA;5010013-1;3456-0;258.645.257-74;6450.62;	
POUPANCA;5010014-1;7890-0;543.533.597-38;6620.11;	
POUPANCA;5010015-1;1234-0;747.738.227-08;6789.60;	
POUPANCA;5010016-1;5678-0;913.298.397-22;6959.09;	
POUPANCA;5010017-1;9012-0;809.088.527-62;7128.58;	
POUPANCA;5010018-1;3456-0;833.146.997-60;7298.07;	
POUPANCA;5010019-1;7890-0;539.774.657-67;7467.56;	
POUPANCA;5010020-1;1234-0;055.600.637-20;7637.05;	
POUPANCA;5010021-1;5678-0;176.734.397-35;7806.54;	
POUPANCA;5010022-1;9012-0;775.895.997-00;7976.03;	
POUPANCA;5010023-1;3456-0;840.875.227-84;8145.52;	
POUPANCA;5010024-1;7890-0;257.643.407-05;8315.01;	
POUPANCA;5010025-1;1234-0;157.776.407-29;8484.50;	
POUPANCA;5010026-1;5678-0;794.636.627-23;8654.99;	
POUPANCA;5010027-1;9012-0;769.025.877-87;8824.48;	
POUPANCA;5010028-1;3456-0;380.738.087-65;8993.97;	
POUPANCA;5010029-1;7890-0;396.584.987-52;9163.46;	
POUPANCA;5010030-1;1234-0;600.615.027-15;9332.95;	
POUPANCA;5010031-1;5678-0;724.281.477-49;9502.44;	
POUPANCA;5010032-1;9012-0;447.686.527-51;9671.93;	
POUPANCA;5010033-1;3456-0;412.964.517-04;9841.42;	
POUPANCA;5010034-1;1234-0;780.761.997-00;0.01;
POUPANCA;5010035-1;5678-0;861.584.617-09;169.50;
POUPANCA;5010036-1;9012-0;818.201.407-76;338.99;
POUPANCA;5010037-1;3456-0;604.948.577-14;0.00;
POUPANCA;5010038-1;7890-0;314.201.267-25;0.00;	
POUPANCA;5010039-1;1234-0;024.830.607-30;847.46;	
POUPANCA;5010040-1;5678-0;288.152.337-41;1016.95;	
POUPANCA;5010041-1;9012-0;040.557.967-57;1186.44;	
POUPANCA;5010042-1;3456-0;047.001.507-18;1355.93;	
POUPANCA;5010043-1;7890-0;147.054.887-92;1525.42;	
POUPANCA;5010044-1;1234-0;009.332.917-28;1694.91;	
POUPANCA;5010045-1;5678-0;726.467.117-86;1864.40;	
POUPANCA;5010046-1;9012-0;366.089.567-97;2033.89;	
POUPANCA;5010047-1;3456-0;560.611.347-38;2203.38;
CORRENTE;1010001-1;1234-0;780.761.997-00;0.00;500.00;
CORRENTE;1010002-1;5678-0;861.584.617-09;15000;500.00;
CORRENTE;1010003-1;9012-0;818.201.407-76;338.98;500.00;
CORRENTE;1010004-1;3456-0;604.948.577-14;508.47;500.00;
CORRENTE;1010005-1;7890-0;314.201.267-25;677.96;500.00;
CORRENTE;1010006-1;1234-0;024.830.607-30;847.45;500.00;
CORRENTE;1010007-1;5678-0;288.152.337-41;1016.94;500.00;
CORRENTE;1010008-1;9012-0;040.557.967-57;1186.43;500.00;
CORRENTE;1010009-1;3456-0;047.001.507-18;1355.92;500.00;
CORRENTE;1010010-1;7890-0;147.054.887-92;1525.41;500.00;
CORRENTE;1010011-1;1234-0;009.332.917-28;1694.90;500.00;
CORRENTE;1010012-1;5678-0;726.467.117-86;1864.39;500.00;
CORRENTE;1010013-1;9012-0;366.089.567-97;2033.88;500.00;
CORRENTE;1010014-1;3456-0;560.611.347-38;2203.37;500.00;
CORRENTE;1010015-1;7890-0;009.391.057-64;2372.86;500.00;
CORRENTE;1010016-1;1234-0;291.924.177-01;2542.35;500.00;
CORRENTE;1010017-1;5678-0;054.666.497-08;2711.84;500.00;
CORRENTE;1010018-1;9012-0;083.292.277-31;2881.33;500.00;
CORRENTE;1010019-1;3456-0;454.081.267-06;3050.82;500.00;
CORRENTE;1010020-1;7890-0;267.501.897-09;3220.31;500.00;
CORRENTE;1010021-1;1234-0;247.549.997-46;3399.80;500.00;
CORRENTE;1010022-1;5678-0;360.669.867-40;3569.29;500.00;
CORRENTE;1010023-1;9012-0;344.365.267-04;3738.78;500.00;
CORRENTE;1010024-1;3456-0;962.246.597-88;3908.27;500.00;
CORRENTE;1010025-1;7890-0;139.017.627-44;4077.76;500.00;
CORRENTE;1010026-1;1234-0;664.320.437-27;4247.25;500.00;
Cliente;Lucas Martins;780.761.997-00;Rua Dom Pedro II, 123 - Centro, Petrópolis, RJ, 25610-000;(24)5555-1234;12345;
Cliente;Juliana Mendes;861.584.617-09;Avenida Koeler, 456 - Centro, Petrópolis, RJ, 25611-111;(24)5555-5678;67890;
Cliente;Marcos Oliveira;818.201.407-76;Praça da Liberdade, 789 - Centro, Petrópolis, RJ, 25612-222;(24)5555-9876;54321;
Cliente;Ana Pereira;604.948.577-14;Rua Teresa, 101 - Alto da Serra, Petrópolis, RJ, 25613-333;(24)5555-4321;98765;
Cliente;Felipe Santos;314.201.267-25;Avenida Ipiranga, 222 - Quitandinha, Petrópolis, RJ, 25614-444;(24)5555-8765;23456;
Cliente;Camila Cardoso;024.830.607-30;Travessa das Flores, 333 - Corrêas, Petrópolis, RJ, 25615-555;(24)5555-3456;78901;
Cliente;Thiago Gomes;288.152.337-41;Rua do Imperador, 444 - Centro, Petrópolis, RJ, 25616-666;(24)5555-7890;45678;
Cliente;Amanda Rodrigues;040.557.967-57;Avenida 24 de Maio, 555 - Quitandinha, Petrópolis, RJ, 25617-777;(24)5555-2345;98765;
Cliente;Gustavo Pereira;047.001.507-18;Rua Montecaseros, 666 - Itaipava, Petrópolis, RJ, 25618-888;(24)5555-6789;34567;
Cliente;Marina Almeida;147.054.887-92;Praça D. Pedro I, 777 - Centro, Petrópolis, RJ, 25619-999;(24)5555-8901;89012;
Cliente;Rafaela Oliveira;009.332.917-28;Avenida Barão do Rio Branco, 888 - Centro, Petrópolis, RJ, 25620-111;(24)5555-5678;56789;
Cliente;André Costa;726.467.117-86;Rua 13 de Maio, 999 - Centro, Petrópolis, RJ, 25621-222;(24)5555-2345;23456;
Cliente;Mariana Ramos;366.089.567-97;Avenida Washington Luiz, 111 - Valparaíso, Petrópolis, RJ, 25622-333;(24)5555-4321;78901;
Cliente;Bruno Ribeiro;560.611.347-38;Rua da Glória, 222 - Glória, Petrópolis, RJ, 25623-444;(24)5555-7890;34567;
Cliente;Isabela Santos;009.391.057-64;Rua dos Artistas, 333 - Centro, Petrópolis, RJ, 25624-555;(24)5555-1234;89012;
Cliente;Carlos Fernandes;291.924.177-01;Avenida Princesa Isabel, 444 - Quitandinha, Petrópolis, RJ, 25625-666;(24)5555-8765;45678;
Cliente;Fernanda Gonçalves;054.666.497-08;Praça Pasteur, 555 - Valparaíso, Petrópolis, RJ, 25626-777;(24)5555-2345;12345;
Cliente;Eduardo Rodrigues;083.292.277-31;Rua das Palmeiras, 666 - Itaipava, Petrópolis, RJ, 25627-888;(24)5555-5678;67890;
Cliente;Laura Rodrigues;454.081.267-06;Avenida Tiradentes, 777 - Centro, Petrópolis, RJ, 25628-999;(24)5555-9876;23456;
Cliente;Anderson Silva;267.501.897-09;Rua das Flores, 888 - Corrêas, Petrópolis, RJ, 25629-111;(24)5555-5678;78901;
Cliente;Daniela Mendonça;247.549.997-46;Rua das Pedras, 999 - Centro, Petrópolis, RJ, 25630-222;(24)5555-8901;34567;
Cliente;Pedro Almeida;360.669.867-40;Avenida Smith, 111 - Valparaíso, Petrópolis, RJ, 25631-333;(24)5555-4321;89012;
Cliente;Patrícia Ribeiro;344.365.267-04;Rua das Montanhas, 222 - Itaipava, Petrópolis, RJ, 25632-444;(24)5555-1234;45678;
Cliente;Luiz Fernandes;962.246.597-88;Praça Dom João VI, 333 - Centro, Petrópolis, RJ, 25633-555;(24)5555-5678;98765;
Cliente;Vivian Oliveira;139.017.627-44;Avenida Barão de Mauá, 444 - Centro, Petrópolis, RJ, 25634-666;(24)5555-5678;54321;
Cliente;Fabiano Costa;664.320.437-27;Rua das Estrelas, 555 - Quitandinha, Petrópolis, RJ, 25635-777;(24)5555-2345;23456;
Cliente;Vanessa Pereira;180.815.377-40;Avenida Pedro Álvares Cabral, 666 - Valparaíso, Petrópolis, RJ, 25636-888;(24)5555-7890;78901;
Cliente;Carolina Rocha;204.288.587-83;Rua das Águias, 777 - Corrêas, Petrópolis, RJ, 25637-999;(24)5555-2345;34567;
Cliente;Vanessa Sousa;385.297.497-66;Praça Dom Pedro II, 888 - Centro, Petrópolis, RJ, 25638-111;(24)5555-1234;89012;
Cliente;João da Silva;462.983.967-48;Avenida Príncipe Imperial, 999 - Centro, Petrópolis, RJ, 25639-222;(24)5555-5678;45678;
Cliente;Isabela Oliveira;453.828.597-87;Rua das Colinas, 111 - Quitandinha, Petrópolis, RJ, 25640-333;(24)5555-2345;12345;
Cliente;Leonardo Freitas;187.239.127-31;Rua das Cachoeiras, 222 - Itaipava, Petrópolis, RJ, 25641-444;(24)5555-4321;67890;
Cliente;Aline Souza;570.337.707-23;Avenida do Sol, 333 - Valparaíso, Petrópolis, RJ, 25642-555;(24)5555-1234;23456;
Cliente;Andréa Silva;362.527.457-40;Praça Santos Dumont, 444 - Centro, Petrópolis, RJ, 25643-666;(24)5555-5678;78901;
Cliente;Ricardo Castro;414.277.597-90;Rua das Flores Silvestres, 555 - Corrêas, Petrópolis, RJ, 25644-777;(24)5555-8901;34567;
Cliente;Lucas Almeida;627.021.897-76;Avenida da Serra, 666 - Quitandinha, Petrópolis, RJ, 25645-888;(24)5555-4321;89012;
Cliente;Helena Souza;728.822.807-00;Rua das Margaridas, 777 - Valparaíso, Petrópolis, RJ, 25646-999;(24)5555-5678;45678;
Cliente;Pedro Lima;437.742.747-46;Avenida Dom Pedro I, 888 - Centro, Petrópolis, RJ, 25647-111;(24)5555-7890;98765;
Cliente;Luana Ferreira;258.645.257-74;Praça São Sebastião, 999 - Centro, Petrópolis, RJ, 25648-222;(24)5555-2345;54321;
Cliente;Marcelo Oliveira;543.533.597-38;Rua das Árvores, 111 - Itaipava, Petrópolis, RJ, 25649-333;(24)5555-1234;23456;
Cliente;Bruna Costa;747.738.227-08;Rua das Fontes, 222 - Corrêas, Petrópolis, RJ, 25650-444;(24)5555-5678;78901;
Cliente;Rodrigo Fernandes;913.298.397-22;Avenida das Montanhas, 333 - Valparaíso, Petrópolis, RJ, 25651-555;(24)5555-7890;34567;
Cliente;Fernanda Ferreira;809.088.527-62;Praça da Paz, 444 - Centro, Petrópolis, RJ, 25652-666;(24)5555-2345;89012;
Cliente;Gustavo Santos;833.146.997-60;Rua das Rosas, 555 - Quitandinha, Petrópolis, RJ, 25653-777;(24)5555-5678;45678;
Cliente;Luiza Rodrigues;539.774.657-67;Avenida das Águas, 666 - Itaipava, Petrópolis, RJ, 25654-888;(24)5555-6666;12345;
Cliente;Ricardo Souza;055.600.637-20;Rua das Laranjeiras, 777 - Valparaíso, Petrópolis, RJ, 25655-999;(24)5555-9876;67890;
Cliente;Ana Martins;176.734.397-35;Avenida do Rio, 888 - Centro, Petrópolis, RJ, 25656-111;(24)5555-1234;23456;
Cliente;João Pereira;775.895.997-00;Rua das Pedrinhas, 999 - Centro, Petrópolis, RJ, 25657-222;(24)5555-5678;78901;
Cliente;Marina Lima;840.875.227-84;Praça da Catedral, 111 - Corrêas, Petrópolis, RJ, 25658-333;(24)5555-2222;34567;
Cliente;Diego Ferreira;257.643.407-05;Avenida das Estrelas, 222 - Valparaíso, Petrópolis, RJ, 25659-444;(24)5555-8901;89012;
Cliente;Larissa Souza;157.776.407-29;Rua do Campo, 333 - Itaipava, Petrópolis, RJ, 25660-555;(24)5555-4321;45678;
Cliente;Jéssica Lima;794.636.627-23;Avenida dos Passarinhos, 444 - Quitandinha, Petrópolis, RJ, 25661-666;(24)5555-5555;98765;
Cliente;Beatriz Santos;769.025.877-87;Rua das Borboletas, 555 - Centro, Petrópolis, RJ, 25662-777;(24)5555-7777;54321;
Cliente;Felipe Oliveira;380.738.087-65;Avenida das Nuvens, 666 - Valparaíso, Petrópolis, RJ, 25663-888;(24)5555-8888;23456;
Cliente;Alice Rodrigues;396.584.987-52;Praça das Araras, 777 - Corrêas, Petrópolis, RJ, 25664-999;(24)5555-9999;78901;
Cliente;Gabriel Pereira;600.615.027-15;Rua do Bosque, 888 - Itaipava, Petrópolis, RJ, 25665-111;(24)5555-1234;34567;
Cliente;Letícia Alves;724.281.477-49;Avenida dos Ipês, 999 - Centro, Petrópolis, RJ, 25666-222;(24)5555-5678;89012;
Cliente;Victor Costa;447.686.527-51;Rua das Girafas, 111 - Valparaíso, Petrópolis, RJ, 25667-333;(24)5555-8901;45678;
Cliente;Sara Mendes;412.964.517-04;Avenida das Zebras, 222 - Quitandinha, Petrópolis, RJ, 25668-444;(24)5555-5678;12345;
Gerente;7000.00;1234-0;564.955.250-95;Ana Oliveira;45678;
Gerente;7000.00;5678-0;804.870.450-17;Carlos Santos;12345;
Gerente;7000.00;9012-0;225.755.290-34;Maria Pereira;67890;
Gerente;7000.00;3456-0;474.634.810-34;João Silva;23456;
Gerente;7000.00;7890-0;578.503.830-79;Beatriz Fernandes;78901;
Gerente;7000.00;1234-0;707.243.490-90;Luiz Costa;34567;
Gerente;7000.00;5678-0;170.392.910-10;Paula Ribeiro;89012;
Gerente;7000.00;9012-0;833.510.130-27;André Almeida;45678;
Gerente;7000.00;3456-0;629.704.820-70;Fernanda Lima;98765;
Gerente;7000.00;7890-0;917.084.980-36;Pedro Gonçalves;54321;
Gerente;7000.00;1234-0;484.216.440-92;Sofia Rodrigues;23456;
Gerente;7000.00;1234-0;571.135.520-13;Lucas Ferreira;78901;
Gerente;7000.00;5678-0;933.201.200-85;Helena Souza;34567;
Gerente;7000.00;9012-0;480.473.340-00;Guilherme Torres;89012;
Gerente;7000.00;3456-0;534.951.590-02;Mariana Gomes;45678;
Gerente;7000.00;7890-0;812.394.310-58;iago Barbosa;12345;
Gerente;7000.00;1234-0;654.429.890-53;Lúcia Carvalho;89012;
Gerente;7000.00;5678-0;349.266.760-01;Daniel Mendes;45678;
Gerente;7000.00;9012-0;474.223.170-86;Renata Silva;98765;
Gerente;7000.00;3456-0;444.539.170-07;Gustavo Oliveira;54321;
Presidente;30000.00;0000-0;454.211.157-00;Déby Souza;12345;
Diretor;15000.00;1234-0;123.456.789-00;Cristian Leignel;12345;
Diretor;15000.00;5678-0;234.567.897-00;Eduardo Carneiro;12345;
Diretor;15000.00;9012-0;345.678.901-00;Lucas Gonzaga;12345;
Diretor;15000.00;3456-0;456.789.012-00;Felipe Sutter;12345;
Diretor;15000.00;7890-0;789.012.345-00;Felipe Moura;12345;
Cliente;12312;11;1;1;123;
Cliente;1;1;1;1;1;
Cliente;2;2;2;2;123;
Poupança;2;2;2;2;
Cliente;Rain;154.545.123-00;03213121;11131213;123123;
Corrente;101000-5;1234-0;154.545.123-00;15000;10000;
Gerente;15;1234-0;321.321.321-00;junin;0000;
